"","GEOID","land","water","G"
"1","06075016500",370459,0,"06075016500"
"2","06075016400",309097,0,"06075016400"
"3","06075016300",245867,0,"06075016300"
"4","06075016100",368901,0,"06075016100"
"5","06075016000",158236,0,"06075016000"
"6","06075015900",295388,0,"06075015900"
"7","06075015700",836550,0,"06075015700"
"8","06075015600",293492,0,"06075015600"
"9","06075015500",312624,0,"06075015500"
"10","06075011300",102297,0,"06075011300"
"11","06075015400",719856,0,"06075015400"
"12","06075015300",233719,0,"06075015300"
"13","06075015200",279195,0,"06075015200"
"14","06075015100",174315,0,"06075015100"
"15","06075013500",235184,0,"06075013500"
"16","06075013400",354173,0,"06075013400"
"17","06075013300",581310,0,"06075013300"
"18","06075013200",546680,0,"06075013200"
"19","06075013000",366103,0,"06075013000"
"20","06075011700",556044,0,"06075011700"
"21","06075990100",0,70939181,"06075990100"
"22","06075012800",497841,0,"06075012800"
"23","06075012700",434518,222050,"06075012700"
"24","06075012100",123393,0,"06075012100"
"25","06075012000",124978,0,"06075012000"
"26","06075011800",56564,0,"06075011800"
"27","06075011200",177414,0,"06075011200"
"28","06075011100",246649,0,"06075011100"
"29","06075011000",239937,0,"06075011000"
"30","06075010900",249763,0,"06075010900"
"31","06075010800",226074,0,"06075010800"
"32","06075010700",183165,0,"06075010700"
"33","06075010600",187222,0,"06075010600"
"34","06075012301",92147,0,"06075012301"
"35","06075010200",515572,295388,"06075010200"
"36","06075980600",2132295,2016109,"06075980600"
"37","06075980501",1585076,9769,"06075980501"
"38","06075980200",1022567,779038,"06075980200"
"39","06075012502",61278,0,"06075012502"
"40","06075012302",92648,0,"06075012302"
"41","06075980900",3586378,260679,"06075980900"
"42","06075980401",419323,247501271,"06075980401"
"43","06075010500",683666,494331,"06075010500"
"44","06075010400",335738,0,"06075010400"
"45","06075010300",268266,0,"06075010300"
"46","06075010100",776482,646925,"06075010100"
"47","06075980300",4345271,409377,"06075980300"
"48","06075061400",797778,0,"06075061400"
"49","06075061500",1669699,439739,"06075061500"
"50","06075012601",170683,0,"06075012601"
"51","06075061200",433004,0,"06075061200"
"52","06075061100",239862,0,"06075061100"
"53","06075047802",339465,0,"06075047802"
"54","06075047801",475941,0,"06075047801"
"55","06075042602",332541,0,"06075042602"
"56","06075042601",293739,0,"06075042601"
"57","06075033204",373362,0,"06075033204"
"58","06075033203",438008,0,"06075033203"
"59","06075032902",504364,0,"06075032902"
"60","06075032901",671724,0,"06075032901"
"61","06075032802",549701,97204,"06075032802"
"62","06075032801",587710,0,"06075032801"
"63","06075032602",470713,0,"06075032602"
"64","06075032601",417958,0,"06075032601"
"65","06075031302",684760,0,"06075031302"
"66","06075031301",451685,0,"06075031301"
"67","06075031202",309328,0,"06075031202"
"68","06075031201",512034,0,"06075031201"
"69","06075025702",533460,0,"06075025702"
"70","06075025701",624487,0,"06075025701"
"71","06075022704",544608,0,"06075022704"
"72","06075016802",215590,0,"06075016802"
"73","06075016801",226847,0,"06075016801"
"74","06075015802",170754,0,"06075015802"
"75","06075020402",591639,0,"06075020402"
"76","06075020401",327213,0,"06075020401"
"77","06075017802",510134,0,"06075017802"
