"","year","quarter","GEOID","N"
"1",2010,1,"06075061000",114
"2",2010,1,"06075022801",279
"3",2010,1,"06075020900",546
"4",2010,1,"06075026003",232
"5",2010,1,"06075020700",376
"6",2010,1,"06075012700",52
"7",2010,1,"06075012301",183
"8",2010,1,"06075022901",195
"9",2010,1,"06075013000",82
"10",2010,1,"06075025401",248
"11",2010,1,"06075047702",81
"12",2010,1,"06075020100",639
"13",2010,1,"06075012000",195
"14",2010,1,"06075012202",242
"15",2010,1,"06075012402",237
"16",2010,1,"06075042602",103
"17",2010,1,"06075016400",277
"18",2010,1,"06075016700",389
"19",2010,1,"06075025701",189
"20",2010,1,"06075011700",256
"21",2010,1,"06075030101",119
"22",2010,1,"06075010400",161
"23",2010,1,"06075026403",122
"24",2010,1,"06075017601",580
"25",2010,1,"06075980900",322
"26",2010,1,"06075013300",77
"27",2010,1,"06075026200",172
"28",2010,1,"06075017102",194
"29",2010,1,"06075042700",173
"30",2010,1,"06075026301",235
"31",2010,1,"06075017802",416
"32",2010,1,"06075047802",67
"33",2010,1,"06075023003",83
"34",2010,1,"06075026100",306
"35",2010,1,"06075047701",196
"36",2010,1,"06075013200",66
"37",2010,1,"06075010900",143
"38",2010,1,"06075026402",111
"39",2010,1,"06075025800",139
"40",2010,1,"06075010700",207
"41",2010,1,"06075022903",197
"42",2010,1,"06075020500",113
"43",2010,1,"06075033000",211
"44",2010,1,"06075026001",359
"45",2010,1,"06075012100",108
"46",2010,1,"06075025300",276
"47",2010,1,"06075016300",223
"48",2010,1,"06075061400",597
"49",2010,1,"06075010600",174
"50",2010,1,"06075032700",96
"51",2010,1,"06075012201",255
"52",2010,1,"06075012401",274
"53",2010,1,"06075012501",229
"54",2010,1,"06075010800",176
"55",2010,1,"06075023200",513
"56",2010,1,"06075023400",400
"57",2010,1,"06075015200",232
"58",2010,1,"06075021000",129
"59",2010,1,"06075016200",203
"60",2010,1,"06075035400",133
"61",2010,1,"06075045100",201
"62",2010,1,"06075026401",38
"63",2010,1,"06075015600",100
"64",2010,1,"06075016900",179
"65",2010,1,"06075025500",356
